Text,Size,Color,Angle,Font,Repeat,URL
.NET Core,3,Random,Random,Random,Yes,
Bitbucket,2,Random,Random,Random,Yes,
Git,2,Random,Random,Random,Yes,
GitHub,2,Random,Random,Random,Yes,
Swagger.io,2,Random,Random,Random,Yes,
.NET Framework,2,Random,Random,Random,Yes,
Entity Framework,2,Random,Random,Random,Yes,
Azure Functions,2,Random,Random,Random,Yes,
SQL,2,Random,Random,Random,Yes,
OAuth2,2,Random,Random,Random,Yes,
3rd Party Software Integration,2,Random,Random,Random,Yes,
Azure,2,Random,Random,Random,Yes,
Postman,2,Random,Random,Random,Yes,
API development,2,Random,Random,Random,Yes,
Events Driven Architecture,2,Random,Random,Random,Yes,
Azure Event Queues,2,Random,Random,Random,Yes,
IIS,2,Random,Random,Random,Yes,
Linux,2,Random,Random,Random,Yes,
Nginx,2,Random,Random,Random,Yes,
PowerShell scripting,2,Random,Random,Random,Yes,
Curl,2,Random,Random,Random,Yes,
Agile,2,Random,Random,Random,Yes,
Scrum Master,2,Random,Random,Random,Yes,
Jira,1,Random,Random,Random,Yes,
Confluence,1,Random,Random,Random,Yes,
